"val","flags"
9999,"0"
2,"2"
4,"4"
6,"1;2"
8,"8"
10,"1;3"
12,"2;3"
14,"1;2;3"
16,"16"
18,"1;4"
20,"2;4"
22,"1;2;4"
24,"3;4"
26,"1;3;4"
28,"2;3;4"
30,"1;2;3;4"
32,"32"
34,"1;5"
36,"2;5"
38,"1;2;5"
40,"3;5"
42,"1;3;5"
44,"2;3;5"
46,"1;2;3;5"
48,"4;5"
50,"1;4;5"
52,"2;4;5"
54,"1;2;4;5"
56,"3;4;5"
58,"1;3;4;5"
60,"2;3;4;5"
62,"1;2;3;4;5"
64,"64"
66,"1;6"
68,"2;6"
70,"1;2;6"
72,"3;6"
74,"1;3;6"
76,"2;3;6"
78,"1;2;3;6"
80,"4;6"
82,"1;4;6"
84,"2;4;6"
86,"1;2;4;6"
88,"3;4;6"
90,"1;3;4;6"
92,"2;3;4;6"
94,"1;2;3;4;6"
96,"5;6"
98,"1;5;6"
100,"2;5;6"
102,"1;2;5;6"
104,"3;5;6"
106,"1;3;5;6"
108,"2;3;5;6"
110,"1;2;3;5;6"
112,"4;5;6"
114,"1;4;5;6"
116,"2;4;5;6"
118,"1;2;4;5;6"
120,"3;4;5;6"
122,"1;3;4;5;6"
124,"2;3;4;5;6"
126,"1;2;3;4;5;6"
128,"128"
130,"1;7"
132,"2;7"
134,"1;2;7"
136,"3;7"
138,"1;3;7"
140,"2;3;7"
142,"1;2;3;7"
144,"4;7"
146,"1;4;7"
148,"2;4;7"
150,"1;2;4;7"
152,"3;4;7"
154,"1;3;4;7"
156,"2;3;4;7"
158,"1;2;3;4;7"
160,"5;7"
162,"1;5;7"
164,"2;5;7"
166,"1;2;5;7"
168,"3;5;7"
170,"1;3;5;7"
172,"2;3;5;7"
174,"1;2;3;5;7"
176,"4;5;7"
178,"1;4;5;7"
180,"2;4;5;7"
182,"1;2;4;5;7"
184,"3;4;5;7"
186,"1;3;4;5;7"
188,"2;3;4;5;7"
190,"1;2;3;4;5;7"
192,"6;7"
194,"1;6;7"
196,"2;6;7"
198,"1;2;6;7"
200,"3;6;7"
202,"1;3;6;7"
204,"2;3;6;7"
206,"1;2;3;6;7"
208,"4;6;7"
210,"1;4;6;7"
212,"2;4;6;7"
214,"1;2;4;6;7"
216,"3;4;6;7"
218,"1;3;4;6;7"
220,"2;3;4;6;7"
222,"1;2;3;4;6;7"
224,"5;6;7"
226,"1;5;6;7"
228,"2;5;6;7"
230,"1;2;5;6;7"
232,"3;5;6;7"
234,"1;3;5;6;7"
236,"2;3;5;6;7"
238,"1;2;3;5;6;7"
240,"4;5;6;7"
242,"1;4;5;6;7"
244,"2;4;5;6;7"
246,"1;2;4;5;6;7"
248,"3;4;5;6;7"
250,"1;3;4;5;6;7"
252,"2;3;4;5;6;7"
254,"1;2;3;4;5;6;7"
256,"256"
258,"1;8"
260,"2;8"
262,"1;2;8"
264,"3;8"
266,"1;3;8"
268,"2;3;8"
270,"1;2;3;8"
272,"4;8"
274,"1;4;8"
276,"2;4;8"
278,"1;2;4;8"
280,"3;4;8"
282,"1;3;4;8"
284,"2;3;4;8"
286,"1;2;3;4;8"
288,"5;8"
290,"1;5;8"
292,"2;5;8"
294,"1;2;5;8"
296,"3;5;8"
298,"1;3;5;8"
300,"2;3;5;8"
302,"1;2;3;5;8"
304,"4;5;8"
306,"1;4;5;8"
308,"2;4;5;8"
310,"1;2;4;5;8"
312,"3;4;5;8"
314,"1;3;4;5;8"
316,"2;3;4;5;8"
318,"1;2;3;4;5;8"
320,"6;8"
322,"1;6;8"
324,"2;6;8"
326,"1;2;6;8"
328,"3;6;8"
330,"1;3;6;8"
332,"2;3;6;8"
334,"1;2;3;6;8"
336,"4;6;8"
338,"1;4;6;8"
340,"2;4;6;8"
342,"1;2;4;6;8"
344,"3;4;6;8"
346,"1;3;4;6;8"
348,"2;3;4;6;8"
350,"1;2;3;4;6;8"
352,"5;6;8"
354,"1;5;6;8"
356,"2;5;6;8"
358,"1;2;5;6;8"
360,"3;5;6;8"
362,"1;3;5;6;8"
364,"2;3;5;6;8"
366,"1;2;3;5;6;8"
368,"4;5;6;8"
370,"1;4;5;6;8"
372,"2;4;5;6;8"
374,"1;2;4;5;6;8"
376,"3;4;5;6;8"
378,"1;3;4;5;6;8"
380,"2;3;4;5;6;8"
382,"1;2;3;4;5;6;8"
384,"7;8"
386,"1;7;8"
388,"2;7;8"
390,"1;2;7;8"
392,"3;7;8"
394,"1;3;7;8"
396,"2;3;7;8"
398,"1;2;3;7;8"
400,"4;7;8"
402,"1;4;7;8"
404,"2;4;7;8"
406,"1;2;4;7;8"
408,"3;4;7;8"
410,"1;3;4;7;8"
412,"2;3;4;7;8"
414,"1;2;3;4;7;8"
416,"5;7;8"
418,"1;5;7;8"
420,"2;5;7;8"
422,"1;2;5;7;8"
424,"3;5;7;8"
426,"1;3;5;7;8"
428,"2;3;5;7;8"
430,"1;2;3;5;7;8"
432,"4;5;7;8"
434,"1;4;5;7;8"
436,"2;4;5;7;8"
438,"1;2;4;5;7;8"
440,"3;4;5;7;8"
442,"1;3;4;5;7;8"
444,"2;3;4;5;7;8"
446,"1;2;3;4;5;7;8"
448,"6;7;8"
450,"1;6;7;8"
452,"2;6;7;8"
454,"1;2;6;7;8"
456,"3;6;7;8"
458,"1;3;6;7;8"
460,"2;3;6;7;8"
462,"1;2;3;6;7;8"
464,"4;6;7;8"
466,"1;4;6;7;8"
468,"2;4;6;7;8"
470,"1;2;4;6;7;8"
472,"3;4;6;7;8"
474,"1;3;4;6;7;8"
476,"2;3;4;6;7;8"
478,"1;2;3;4;6;7;8"
480,"5;6;7;8"
482,"1;5;6;7;8"
484,"2;5;6;7;8"
486,"1;2;5;6;7;8"
488,"3;5;6;7;8"
490,"1;3;5;6;7;8"
492,"2;3;5;6;7;8"
494,"1;2;3;5;6;7;8"
496,"4;5;6;7;8"
498,"1;4;5;6;7;8"
500,"2;4;5;6;7;8"
502,"1;2;4;5;6;7;8"
504,"3;4;5;6;7;8"
506,"1;3;4;5;6;7;8"
508,"2;3;4;5;6;7;8"
510,"1;2;3;4;5;6;7;8"
512,"512"
514,"1;9"
516,"2;9"
518,"1;2;9"
520,"3;9"
522,"1;3;9"
524,"2;3;9"
526,"1;2;3;9"
528,"4;9"
530,"1;4;9"
532,"2;4;9"
534,"1;2;4;9"
536,"3;4;9"
538,"1;3;4;9"
540,"2;3;4;9"
542,"1;2;3;4;9"
544,"5;9"
546,"1;5;9"
548,"2;5;9"
550,"1;2;5;9"
552,"3;5;9"
554,"1;3;5;9"
556,"2;3;5;9"
558,"1;2;3;5;9"
560,"4;5;9"
562,"1;4;5;9"
564,"2;4;5;9"
566,"1;2;4;5;9"
568,"3;4;5;9"
570,"1;3;4;5;9"
572,"2;3;4;5;9"
574,"1;2;3;4;5;9"
576,"6;9"
578,"1;6;9"
580,"2;6;9"
582,"1;2;6;9"
584,"3;6;9"
586,"1;3;6;9"
588,"2;3;6;9"
590,"1;2;3;6;9"
592,"4;6;9"
594,"1;4;6;9"
596,"2;4;6;9"
598,"1;2;4;6;9"
600,"3;4;6;9"
602,"1;3;4;6;9"
604,"2;3;4;6;9"
606,"1;2;3;4;6;9"
608,"5;6;9"
610,"1;5;6;9"
612,"2;5;6;9"
614,"1;2;5;6;9"
616,"3;5;6;9"
618,"1;3;5;6;9"
620,"2;3;5;6;9"
622,"1;2;3;5;6;9"
624,"4;5;6;9"
626,"1;4;5;6;9"
628,"2;4;5;6;9"
630,"1;2;4;5;6;9"
632,"3;4;5;6;9"
634,"1;3;4;5;6;9"
636,"2;3;4;5;6;9"
638,"1;2;3;4;5;6;9"
640,"7;9"
642,"1;7;9"
644,"2;7;9"
646,"1;2;7;9"
648,"3;7;9"
650,"1;3;7;9"
652,"2;3;7;9"
654,"1;2;3;7;9"
656,"4;7;9"
658,"1;4;7;9"
660,"2;4;7;9"
662,"1;2;4;7;9"
664,"3;4;7;9"
666,"1;3;4;7;9"
668,"2;3;4;7;9"
670,"1;2;3;4;7;9"
672,"5;7;9"
674,"1;5;7;9"
676,"2;5;7;9"
678,"1;2;5;7;9"
680,"3;5;7;9"
682,"1;3;5;7;9"
684,"2;3;5;7;9"
686,"1;2;3;5;7;9"
688,"4;5;7;9"
690,"1;4;5;7;9"
692,"2;4;5;7;9"
694,"1;2;4;5;7;9"
696,"3;4;5;7;9"
698,"1;3;4;5;7;9"
700,"2;3;4;5;7;9"
702,"1;2;3;4;5;7;9"
704,"6;7;9"
706,"1;6;7;9"
708,"2;6;7;9"
710,"1;2;6;7;9"
712,"3;6;7;9"
714,"1;3;6;7;9"
716,"2;3;6;7;9"
718,"1;2;3;6;7;9"
720,"4;6;7;9"
722,"1;4;6;7;9"
724,"2;4;6;7;9"
726,"1;2;4;6;7;9"
728,"3;4;6;7;9"
730,"1;3;4;6;7;9"
732,"2;3;4;6;7;9"
734,"1;2;3;4;6;7;9"
736,"5;6;7;9"
738,"1;5;6;7;9"
740,"2;5;6;7;9"
742,"1;2;5;6;7;9"
744,"3;5;6;7;9"
746,"1;3;5;6;7;9"
748,"2;3;5;6;7;9"
750,"1;2;3;5;6;7;9"
752,"4;5;6;7;9"
754,"1;4;5;6;7;9"
756,"2;4;5;6;7;9"
758,"1;2;4;5;6;7;9"
760,"3;4;5;6;7;9"
762,"1;3;4;5;6;7;9"
764,"2;3;4;5;6;7;9"
766,"1;2;3;4;5;6;7;9"
768,"8;9"
770,"1;8;9"
772,"2;8;9"
774,"1;2;8;9"
776,"3;8;9"
778,"1;3;8;9"
780,"2;3;8;9"
782,"1;2;3;8;9"
784,"4;8;9"
786,"1;4;8;9"
788,"2;4;8;9"
790,"1;2;4;8;9"
792,"3;4;8;9"
794,"1;3;4;8;9"
796,"2;3;4;8;9"
798,"1;2;3;4;8;9"
800,"5;8;9"
802,"1;5;8;9"
804,"2;5;8;9"
806,"1;2;5;8;9"
808,"3;5;8;9"
810,"1;3;5;8;9"
812,"2;3;5;8;9"
814,"1;2;3;5;8;9"
816,"4;5;8;9"
818,"1;4;5;8;9"
820,"2;4;5;8;9"
822,"1;2;4;5;8;9"
824,"3;4;5;8;9"
826,"1;3;4;5;8;9"
828,"2;3;4;5;8;9"
830,"1;2;3;4;5;8;9"
832,"6;8;9"
834,"1;6;8;9"
836,"2;6;8;9"
838,"1;2;6;8;9"
840,"3;6;8;9"
842,"1;3;6;8;9"
844,"2;3;6;8;9"
846,"1;2;3;6;8;9"
848,"4;6;8;9"
850,"1;4;6;8;9"
852,"2;4;6;8;9"
854,"1;2;4;6;8;9"
856,"3;4;6;8;9"
858,"1;3;4;6;8;9"
860,"2;3;4;6;8;9"
862,"1;2;3;4;6;8;9"
864,"5;6;8;9"
866,"1;5;6;8;9"
868,"2;5;6;8;9"
870,"1;2;5;6;8;9"
872,"3;5;6;8;9"
874,"1;3;5;6;8;9"
876,"2;3;5;6;8;9"
878,"1;2;3;5;6;8;9"
880,"4;5;6;8;9"
882,"1;4;5;6;8;9"
884,"2;4;5;6;8;9"
886,"1;2;4;5;6;8;9"
888,"3;4;5;6;8;9"
890,"1;3;4;5;6;8;9"
892,"2;3;4;5;6;8;9"
894,"1;2;3;4;5;6;8;9"
896,"7;8;9"
898,"1;7;8;9"
900,"2;7;8;9"
902,"1;2;7;8;9"
904,"3;7;8;9"
906,"1;3;7;8;9"
908,"2;3;7;8;9"
910,"1;2;3;7;8;9"
912,"4;7;8;9"
914,"1;4;7;8;9"
916,"2;4;7;8;9"
918,"1;2;4;7;8;9"
920,"3;4;7;8;9"
922,"1;3;4;7;8;9"
924,"2;3;4;7;8;9"
926,"1;2;3;4;7;8;9"
928,"5;7;8;9"
930,"1;5;7;8;9"
932,"2;5;7;8;9"
934,"1;2;5;7;8;9"
936,"3;5;7;8;9"
938,"1;3;5;7;8;9"
940,"2;3;5;7;8;9"
942,"1;2;3;5;7;8;9"
944,"4;5;7;8;9"
946,"1;4;5;7;8;9"
948,"2;4;5;7;8;9"
950,"1;2;4;5;7;8;9"
952,"3;4;5;7;8;9"
954,"1;3;4;5;7;8;9"
956,"2;3;4;5;7;8;9"
958,"1;2;3;4;5;7;8;9"
960,"6;7;8;9"
962,"1;6;7;8;9"
964,"2;6;7;8;9"
966,"1;2;6;7;8;9"
968,"3;6;7;8;9"
970,"1;3;6;7;8;9"
972,"2;3;6;7;8;9"
974,"1;2;3;6;7;8;9"
976,"4;6;7;8;9"
978,"1;4;6;7;8;9"
980,"2;4;6;7;8;9"
982,"1;2;4;6;7;8;9"
984,"3;4;6;7;8;9"
986,"1;3;4;6;7;8;9"
988,"2;3;4;6;7;8;9"
990,"1;2;3;4;6;7;8;9"
992,"5;6;7;8;9"
994,"1;5;6;7;8;9"
996,"2;5;6;7;8;9"
998,"1;2;5;6;7;8;9"
1000,"3;5;6;7;8;9"
1002,"1;3;5;6;7;8;9"
1004,"2;3;5;6;7;8;9"
1006,"1;2;3;5;6;7;8;9"
1008,"4;5;6;7;8;9"
1010,"1;4;5;6;7;8;9"
1012,"2;4;5;6;7;8;9"
1014,"1;2;4;5;6;7;8;9"
1016,"3;4;5;6;7;8;9"
1018,"1;3;4;5;6;7;8;9"
1020,"2;3;4;5;6;7;8;9"
1022,"2;4;8;16;32;64;128;256;512"
1024,"1024"
1026,"1;10"
1028,"2;10"
1030,"1;2;10"
1032,"3;10"
1034,"1;3;10"
1036,"2;3;10"
1038,"1;2;3;10"
1040,"4;10"
1042,"1;4;10"
1044,"2;4;10"
1046,"1;2;4;10"
1048,"3;4;10"
1050,"1;3;4;10"
1052,"2;3;4;10"
1054,"1;2;3;4;10"
1056,"5;10"
1058,"1;5;10"
1060,"2;5;10"
1062,"1;2;5;10"
1064,"3;5;10"
1066,"1;3;5;10"
1068,"2;3;5;10"
1070,"1;2;3;5;10"
1072,"4;5;10"
1074,"1;4;5;10"
1076,"2;4;5;10"
1078,"1;2;4;5;10"
1080,"3;4;5;10"
1082,"1;3;4;5;10"
1084,"2;3;4;5;10"
1086,"1;2;3;4;5;10"
1088,"6;10"
1090,"1;6;10"
1092,"2;6;10"
1094,"1;2;6;10"
1096,"3;6;10"
1098,"1;3;6;10"
1100,"2;3;6;10"
1102,"1;2;3;6;10"
1104,"4;6;10"
1106,"1;4;6;10"
1108,"2;4;6;10"
1110,"1;2;4;6;10"
1112,"3;4;6;10"
1114,"1;3;4;6;10"
1116,"2;3;4;6;10"
1118,"1;2;3;4;6;10"
1120,"5;6;10"
1122,"1;5;6;10"
1124,"2;5;6;10"
1126,"1;2;5;6;10"
1128,"3;5;6;10"
1130,"1;3;5;6;10"
1132,"2;3;5;6;10"
1134,"1;2;3;5;6;10"
1136,"4;5;6;10"
1138,"1;4;5;6;10"
1140,"2;4;5;6;10"
1142,"1;2;4;5;6;10"
1144,"3;4;5;6;10"
1146,"1;3;4;5;6;10"
1148,"2;3;4;5;6;10"
1150,"1;2;3;4;5;6;10"
1152,"7;10"
1154,"1;7;10"
1156,"2;7;10"
